system:index,B11_2018,B11_2024,B12_2018,B12_2024,B2_2018,B2_2024,B3_2018,B3_2024,B4_2018,B4_2024,B8_2018,B8_2024,DW_LABEL_2018,DW_LABEL_2024,MNDWI_2018,MNDWI_2024,NDBI_2018,NDBI_2024,NDVI_2018,NDVI_2024,NDWI_2018,NDWI_2024,latitude,longitude,point_id,region,region_id,.geo
1_2_174_0_1_2_174_0,0.159,0.1959,0.08315,0.118,0.05275,0.0572,0.0681,0.0736,0.04625,0.0614,0.282,0.3042,1,6,-0.4002642,-0.45380333,-0.27891156,-0.21655668,0.7182026,0.66411376,-0.6109683,-0.6103759,9.807491861667494,76.38621897571424,5174.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_175_0_1_2_175_0,0.15725,0.2144,0.08515,0.1199,0.0538,0.0638,0.0663,0.0871,0.05,0.0979,0.2621,0.3688,1,1,-0.4068441,-0.42222223,-0.2500298,-0.26474622,0.67958987,0.5804585,-0.5962241,-0.61789864,9.788986566814632,76.37525952924798,5175.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_176_0_1_2_176_0,0.0118,0.014,0.0082,0.0096,0.0618,0.0558,0.0656,0.0652,0.0484,0.0462,0.0262,0.0284,0,0,0.6950904,0.64646465,-0.37894738,-0.33962265,-0.29758713,-0.2386059,0.4291939,0.3931624,9.872170562124099,76.27114478781853,5176.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_177_0_1_2_177_0,0.0157,0.0123,0.0129,0.0106,0.0665,0.0566,0.0527,0.0438,0.0297,0.027,0.0253,0.0203,0,0,0.5409357,0.56149733,-0.23414634,-0.24539877,-0.08,-0.14164905,0.35128206,0.36661467,9.764103233444521,76.18050477565087,5177.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_178_0_1_2_178_0,0.02285,0.0265,0.01385,0.0143,0.06285,0.0598,0.0677,0.0698,0.0539,0.0565,0.0415,0.049,0,0,0.49530646,0.44963655,-0.2898213,-0.29801324,-0.12997903,-0.07109005,0.23992674,0.17508417,10.093156122017502,76.21643738701565,5178.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_179_0_1_2_179_0,0.09115,0.1002,0.05055,0.0525,0.0599,0.0546,0.06405,0.0625,0.04675,0.0416,0.136,0.1412,3,3,-0.1746134,-0.23171481,-0.19744661,-0.16984259,0.4883721,0.54485774,-0.3596601,-0.38635248,9.837585423685498,76.35163383727564,5179.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_180_0_1_2_180_0,0.1888,0.2073,0.0966,0.1023,0.0459,0.0515,0.05905,0.0635,0.0446,0.04865,0.2983,0.2555,1,6,-0.5235021,-0.5310192,-0.22479984,-0.10414866,0.73986584,0.68009204,-0.6695117,-0.60188085,9.862738251640844,76.42691265808486,5180.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_181_0_1_2_181_0,0.24205,0.2459,0.1704,0.1519,0.07435,0.0628,0.0855,0.0822,0.0891,0.0986,0.2268,0.27,6,6,-0.4779423,-0.49893326,0.032526396,-0.04671448,0.43589744,0.46500272,-0.45244956,-0.53321975,9.753592944620323,76.36385092513966,5181.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_182_0_1_2_182_0,0.1875,0.1792,0.13905,0.1471,0.0742,0.0725,0.0809,0.0864,0.07125,0.0818,0.2352,0.1992,6,6,-0.3971684,-0.3493976,-0.11284599,-0.052854124,0.5349975,0.4177936,-0.48813668,-0.394958,9.94951550808679,76.25578359646009,5182.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_183_0_1_2_183_0,0.0166,0.0176,0.0122,0.0122,0.0646,0.0672,0.0706,0.0741,0.0578,0.0562,0.0361,0.0327,0,0,0.61926603,0.6161396,-0.370019,-0.3001988,-0.23109691,-0.26434195,0.32333645,0.38764045,9.935142463540878,76.29171620782486,5183.0,Kochi,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
